gvkey,datadate,conm,tic,cusip,dldte,dlrsn
164364,2010/1/4,INVESTORS BANCORP INC,ISBC,46146L101,2022/4/7,1
16245,2010/1/4,PEOPLE'S UNITED FINL INC,PBCT,712704105,2022/4/6,1
144757,2010/1/4,VIGIL HEALTH SOLUTIONS INC,VGL.,92672N202,2022/4/5,1
165829,2010/1/4,ALCANNA INC,CLIQ.,01374C109,2022/4/4,1
31703,2010/1/4,GUARANTY FED BANCSHARES INC,GFED,40108P101,2022/4/1,1
102345,2010/1/4,NELES OYJ,MXCY,592671101,2022/4/1,1
162325,2010/1/4,DAKOTA TERRITORY RESOURCE,DTRC,23426V208,2022/4/1,1
179817,2010/1/4,VERSO CORP,VRSZQ,92531L108,2022/3/31,1
3275,2010/1/4,COMMUNICATIONS SYSTEMS INC,JCS,203900204,2022/3/29,1
119513,2010/1/4,OPTIBASE LTD,OBAS,M7524R116,2022/3/28,1
183617,2010/1/4,VALLEY REPUBLIC BANCORP,VLLX,92007L103,2022/3/28,1
148219,2010/1/4,BIODELIVERY SCIENCES INTL,BDSI,09060J106,2022/3/22,1
10293,2010/1/4,TNR TECHNICAL INC,TNRK,872595202,2022/3/21,1
122678,2010/1/4,ROCKFORD CORP,ROFO,77316P101,2022/3/15,1
166230,2010/1/4,KRATON CORP,KRA,50077C106,2022/3/15,1
138122,2010/1/4,ARENA PHARMACEUTICALS INC,ARNA,40047607,2022/3/14,1
61685,2010/1/4,NUANCE COMMUNICATIONS INC,NUAN,67020Y100,2022/3/7,1
162577,2010/1/4,FIDUCIARY/CLAYMR EGY INFR FD,FMO,31647Q205,2022/3/7,1
105797,2010/1/4,CERRO MINING CORP,CRX.,156874307,2022/3/4,1
120654,2010/1/4,COMINAR REAL ESTATE INVT TR,CUF.UN,199910100,2022/3/3,1
24233,2010/1/4,STATE AUTO FINANCIAL CORP,STFC,855707105,2022/3/2,1
162906,2010/1/4,IHS MARKIT LTD,INFO.1,G47567105,2022/3/2,1
4040,2010/1/4,DONNELLEY (R R) & SONS CO,RRD,257867200,2022/2/28,1
7525,2010/1/4,MONMOUTH RE INVESTMENT CP,MNR.2,609720107,2022/2/28,1
178851,2010/1/4,NUVERRA ENVIRONMENTAL SOLUTN,NESCQ,67091K203,2022/2/24,1
11896,2010/1/4,FIRST MIDWEST BANCORP INC,FMBI,320867104,2022/2/18,1
17131,2010/1/4,INDEPENDENCE HOLDING CO,IHC,453440307,2022/2/16,1
22325,2010/1/4,XILINX INC,XLNX,983919101,2022/2/15,1
105661,2010/1/4,KIRKLAND LAKE GOLD LTD,KL.,4.97E+104,2022/2/10,1
65030,2010/1/4,ZONIA HOLDINGS CORP,CDYCF,14140U204,2022/2/1,1
117161,2010/1/4,STERLING BANCORP,STL,85917A100,2022/2/1,1
162811,2010/1/4,ROYAL FINANCIAL INC,RYFL,78027P109,2022/2/1,1
174647,2010/1/4,TRIPLE-S MANAGEMENT CORP,GTS,896749108,2022/2/1,1
20488,2010/1/4,GOLDEN STAR RESOURCES LTD,GSS,38119T807,2022/1/28,1
176119,2010/1/4,MILLENNIAL LITHIUM CORP,ML.,60040W105,2022/1/27,1
166723,2010/1/4,HOWARD BANCORP INC,HBMD,442496105,2022/1/25,1
156157,2010/1/4,MARLIN BUSINESS SERVICES INC,MRLN,571157106,2022/1/21,1
108331,2010/1/4,SPORTSCENE GROUP INC,SPS.,84920P105,2022/1/20,1
25333,2010/1/4,PERPETUAL FEDERAL SAVINGS BK,PFOH,714273109,2022/1/19,1
137434,2010/1/4,IGO INC,IGOI,449593300,2022/1/18,1
144084,2010/1/4,RIFCO INC,RFC.,766516108,2022/1/17,1
162387,2010/1/4,TEEKAY LNG PARTNERS LP,TGP,Y8564M105,2022/1/13,1
181077,2010/1/4,SUNCREST BANK,SBKK,86723G109,2022/1/10,1
65467,2010/1/4,1ST CONSTITUTION BANCORP,FCCY,31986N102,2022/1/7,1
2940,2010/1/4,MAGELLAN HEALTH INC,MGLN,559079207,2022/1/6,1
149738,2010/1/4,CIT GROUP INC,CIT,125581801,2022/1/4,1
16698,2010/1/4,BRYN MAWR BANK CORP,BMTC,117665109,2022/1/3,1
16531,2010/1/4,ZIX CORP,ZIXI,98974P100,2021/12/27,1
107863,2010/1/4,PILOT BANCSHARES INC,PLBN,721530103,2021/12/24,1
8387,2010/1/4,GOODRICH PETROLEUM CORP,GDPMQ,382410405,2021/12/23,1
20689,2010/1/4,PFB CORP,PFB.,69331T101,2021/12/22,1
63708,2010/1/4,DOVER MOTORSPORTS INC,DVD,260174107,2021/12/22,1
107148,2010/1/4,ALLIED HOTEL PPTYS INC,AHP.,19226109,2021/12/22,1
160295,2010/1/4,LAKEVIEW HOTEL INVESTMENT,LHR.,51222P109,2021/12/22,1
5639,2010/1/4,HILL-ROM HOLDINGS INC,HRC,431475102,2021/12/20,1
30209,2010/1/4,PROPHOTONIX LTD,STKR,743465106,2021/12/17,1
1019,2010/1/4,AFA PROTECTIVE SYSTEMS INC,AFAP,1038108,2021/12/16,1
18764,2010/1/4,LAACO LTD,LAACZ,505346106,2021/12/16,1
174124,2010/1/4,AQUILA RESOURCES INC,AQA.,03841G101,2021/12/15,1
6335,2010/1/4,KANSAS CITY SOUTHERN,KSU,485170302,2021/12/14,1
17890,2010/1/4,IKONICS CORP,IKNX,45172K102,2021/12/14,1
105950,2010/1/4,AGJUNCTION INC,AJX.,00847V108,2021/12/9,1
22053,2010/1/4,CONTANGO OIL & GAS CO,MCF,21075N204,2021/12/8,1
174449,2010/1/4,COMMUNITY BANKERS TRUST CORP,ESXB,203612106,2021/12/6,1
29722,2010/1/4,DSP GROUP INC,DSPG,23332B106,2021/12/3,1
7260,2010/1/4,MEREDITH CORP,MDP,589433101,2021/12/2,1
175013,2010/1/4,IMMUNOCELLULAR THERPTICS LTD,IMUC.2,452996408,2021/12/2,1
8958,2010/1/4,RAVEN INDUSTRIES INC,RAVN,754212108,2021/12/1,1
111459,2010/1/4,FNBH BANCORP INC,FNHM,302528203,2021/12/1,1
120413,2010/1/4,WEST SUBURBAN BANCORP INC,WNRP,956152409,2021/12/1,1
182599,2010/1/4,RIVERVIEW FINANCIAL CORP,RIVE,76940Q105,2021/12/1,1
23485,2010/1/4,COVANTA HOLDING CORP,CVA,2.23E+106,2021/11/30,1
176760,2010/1/4,DOMTAR CORP,UFS,257559203,2021/11/30,1
179957,2010/1/4,ECHO GLOBAL LOGISTICS INC,ECHO,27875T101,2021/11/24,1
30175,2010/1/4,DIVERSICARE HEALTHCARE SVCS,DVCR,255104101,2021/11/23,1
177109,2010/1/4,CAI INTERNATIONAL INC,CAI.3,12477X106,2021/11/23,1
156521,2010/1/4,NUVEEN DIVERSIFIED DIV INCM,JDD,6706EP105,2021/11/22,1
158456,2010/1/4,NUVEEN TAX-ADV TOT RET ST FD,JTA,67090H102,2021/11/22,1
177791,2010/1/4,NUVEEN TAX-ADVNTGD DIV GRWTH,JTD,67073G105,2021/11/22,1
62640,2010/1/4,LORAL SPACE & COMMUNICATIONS,LORL,543881106,2021/11/19,1
162735,2010/1/4,TRILLIUM THERAPEUTICS INC,TRIL.,89620X506,2021/11/19,1
177255,2010/1/4,JMP GROUP LLC,JMP,46629U107,2021/11/16,1
16748,2010/1/4,CENTURY BANCORP INC/MA,CNBKA,156432106,2021/11/15,1
179298,2010/1/4,MERIDIAN BANCORP INC (MD),EBSB,58958U103,2021/11/15,1
165638,2010/1/4,GOLDEN VY MINES & RYLTS LTD,GZZ.,381237106,2021/11/8,1
24890,2010/1/4,MISONIX INC,MSON,604871103,2021/11/2,1
28833,2010/1/4,CORTLAND BANCORP,CLDB,220587109,2021/11/2,1
66319,2010/1/4,INTER PIPELINE LTD,IPL.,45833V109,2021/11/2,1
147792,2010/1/4,SEVERN BANCORP INC,SVBI,81811M100,2021/11/1,1
108517,2010/1/4,MESA EXPLORATION CORP,MSA.1,59064J107,2021/10/27,1
140177,2010/1/4,ALLIED COPPER CORP -OLD,CPR.1,01999X108,2021/10/27,1
154093,2010/1/4,CERVUS EQUIPMENT CORP,CERV.,15712L100,2021/10/27,1
164689,2010/1/4,GUGGENHEIM ENHANCED EQY INCM,GPM,40167B100,2021/10/25,1
125114,2010/1/4,JACADA LTD,JCDAF,M6184R119,2021/10/21,1
107332,2010/1/4,MELIOR RESOURCES INC,MLR.,58548A203,2021/10/20,1
180256,2010/1/4,NAVIOS MARITIME ACQUISITION,NNA,Y62159143,2021/10/20,1
121381,2010/1/4,PACIFIC MERCANTILE BANCORP,PMBC,694552100,2021/10/19,1
140565,2010/1/4,SELECT BANCORP INC,SLCT,81617L108,2021/10/18,1
7759,2010/1/4,GP STRATEGIES CORP,GPX,36225V104,2021/10/15,1
5831,2010/1/4,IEC ELECTRONICS CORP,IEC,44949L105,2021/10/8,1
121673,2010/1/4,STAMPS.COM INC,STMP,852857200,2021/10/8,1
247371,2010/1/4,LONESTAR RESOURCES US INC,ADUEY,54238W100,2021/10/8,1
108373,2010/1/4,NANOTECH SECURITY CORP,NTS.,63009M100,2021/10/6,1
162381,2010/1/4,BANK OF SANTA CLARITA CA,BSCA,06424K100,2021/10/6,1
146218,2010/1/4,MORRIS BUSINESS DEVELOPMENT,MBDE,617883202,2021/10/4,1
6845,2010/1/4,LYDALL INC,LDL,550819106,2021/10/1,1
112112,2010/1/4,BANK OF COMMERCE HOLDINGS,BOCH,06424J103,2021/10/1,1
150699,2010/1/4,CIMAREX ENERGY CO,XEC,171798101,2021/10/1,1
11538,2010/1/4,J. ALEXANDER'S HOLDINGS INC,JAXR,466096104,2021/9/30,1
106709,2010/1/4,GREAT CANADIAN GAMING CORP,GC.,389914102,2021/9/23,1
5250,2010/1/4,GRACE (W R) & CO,GRA,38388F108,2021/9/22,1
62895,2010/1/4,PREMIER FINANCIAL BANCORP,PFBI,74050M105,2021/9/20,1
145061,2010/1/4,ALLOY STEEL INTL INC,AYSI,19860105,2021/9/20,1
107460,2010/1/4,NEW CAROLIN GOLD CORP,LAD.,643253206,2021/9/17,1
3036,2010/1/4,CINCINNATI BELL INC,CBB,171871502,2021/9/7,1
114880,2010/1/4,MACKINAC FINANCIAL CORP,MFNC,554571109,2021/9/7,1
180353,2010/1/4,GOLDEN PREDATOR MINING CORP,GPY.,38116P105,2021/9/7,1
162876,2010/1/4,CORE MARK HOLDING CO INC,CORE,218681104,2021/9/2,1
175004,2010/1/4,ORBCOMM INC,ORBC,68555P100,2021/9/2,1
63197,2010/1/4,HOME FINANCIAL BANCORP,HWEN,43708T101,2021/9/1,1
137377,2010/1/4,EXFO INC,EXFO,302046107,2021/8/31,1
62732,2010/1/4,SYKES ENTERPRISES INC,SYKE,871237103,2021/8/30,1
14256,2010/1/4,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101,2021/8/27,1
107151,2010/1/4,ELY GOLD ROYALTIES INC,ELY.1,290522101,2021/8/24,1
2342,2010/1/4,BOWL AMERICA INC  -CL A,BWL.A,102565108,2021/8/17,1
184292,2010/2/9,CALIFORNIA GOLD MINING INC,CGM.,130264203,2021/8/17,1
63541,2010/1/4,MMA CAPITAL HOLDINGS,MMAC,55315D105,2021/8/16,1
60983,2010/1/4,AMERICAN RIVER BANKSHARES,AMRB,29326105,2021/8/9,1
20204,2010/1/4,ICONIX BRAND GROUP INC,ICON.1,451055305,2021/8/5,1
264286,2010/1/4,SOUTHCREST FINANCIAL GROUP,SCSG,84129X107,2021/8/5,1
11340,2010/1/4,WEINGARTEN REALTY INVST,WRI,948741103,2021/8/4,1
178405,2010/1/4,FLY LEASING LTD  -ADR,FLY.1,34407D109,2021/8/4,1
275823,2010/1/4,INV METALS INC,INV.,46123C207,2021/7/28,1
28119,2010/1/4,BROOKFIELD PROPERTY REIT,BPYU,11282X103,2021/7/27,1
126555,2010/1/4,ALASKA COMMUNICATIONS SYS GP,ALSK,01167P101,2021/7/23,1
62263,2010/1/4,ALEXION PHARMACEUTICALS INC,ALXN,15351109,2021/7/22,1
64745,2010/1/4,KNOLL INC,KNL,498904200,2021/7/19,1
138922,2010/1/4,PHOTON CONTROL INC,PHO.,719360109,2021/7/19,1
272884,2010/1/4,URANIUM PARTICIPATION CORP,U.,917017105,2021/7/19,1
133504,2010/1/4,LUMINEX CORP,LMNX.1,5.50E+106,2021/7/15,1
184157,2010/1/25,MSG NETWORKS INC,MSGN,553573106,2021/7/9,1
107260,2010/1/4,ROXGOLD INC,ROXG.,779899202,2021/7/6,1
6081,2010/1/4,NAVISTAR INTERNATIONAL CORP,NAV,6.39E+112,2021/7/1,1
29211,2010/1/4,BOSTON PRIVATE FINL HOLDINGS,BPFH,101119105,2021/7/1,1
20253,2010/1/4,BRAMPTON BRICK LTD  -CL A,BBL.A,10511J109,2021/6/25,1
108682,2010/1/4,SUPREME CANNABIS CO INC,FIRE.,86860J106,2021/6/24,1
241878,2010/1/4,REDFLEX HOLDINGS LTD,RFLXY,757370101,2021/6/22,1
264397,2010/1/4,CARDTRONICS PLC,CATM,G1991C105,2021/6/22,1
174119,2010/1/4,HOUSTON WIRE & CABLE CO,HWCC,44244K109,2021/6/16,1
15363,2010/1/4,TCF FINANCIAL CORP,TCF,872307103,2021/6/9,1
183961,2010/1/4,GOLD X MINING CORP,GLDX.1,38076C102,2021/6/8,1
3502,2010/1/4,COOPER TIRE & RUBBER CO,CTB,216831107,2021/6/7,1
174292,2010/1/4,VELOCITY PORTFOLIO GROUP INC,VPGI,92257E304,2021/6/7,1
12796,2010/1/4,CORELOGIC INC,CLGX,21871D103,2021/6/4,1
62655,2010/1/4,DEAN FOODS CO,DFODQ,242370203,2021/6/3,1
1982,2010/1/4,PROTECTIVE INSURANCE CORP,PTVCA,74368L104,2021/6/2,1
2942,2010/1/4,CANTEL MEDICAL CORP,CMD,138098108,2021/6/2,1
63165,2010/1/4,KENTUCKY BANCSHARES INC,KTYB,491203105,2021/6/1,1
105579,2010/1/4,NEW LOOK VISION GROUP INC,BCI.,64672W102,2021/6/1,1
63288,2010/1/4,FBL FINANCIAL GROUP INC-CL A,FFG,30239F106,2021/5/26,1
166789,2010/1/4,GENERAL FINANCE CORP/DE,GFNCU,369822200,2021/5/26,1
3639,2010/1/4,CUBIC CORP,CUB.1,229669106,2021/5/25,1
65808,2010/1/4,BATTLE NORTH GOLD CORP,BNAUF,07160B106,2021/5/21,1
175590,2010/1/4,PLATEAU ENERGY METALS INC,PLU.,72764B100,2021/5/19,1
5978,2010/1/4,AEGION CORP,AEGN,00770F104,2021/5/18,1
162346,2010/1/4,ATLANTIC POWER CORP,ATP.,04878Q863,2021/5/18,1
177384,2010/1/4,ATLANTIC POWER PFD EQTY LTD,AZP.PR.A,04878R101,2021/5/18,1
28477,2010/1/4,FLIR SYSTEMS INC,FLIR,302445101,2021/5/17,1
11877,2010/1/4,BLUEGREEN VACATNS CORP,BXG.1,96231105,2021/5/6,1
247881,2010/1/5,GW PHARMACEUTICALS LIMITED,GWPRF,G4210C104,2021/5/6,1
107111,2010/1/4,KFG RESOURCES LTD,KFG.,48245P108,2021/5/5,1
66599,2010/1/4,WADDELL&REED FINL INC  -CL A,WDR,930059100,2021/5/3,1
176782,2010/1/4,GLU MOBILE INC,GLUU,379890106,2021/4/30,1
119133,2010/1/4,DEER VALLEY CORP,DVLY,244196200,2021/4/28,1
154773,2010/1/4,CRH MEDICAL CORP,CRH.,12626F105,2021/4/23,1
184542,2010/5/28,GENMARK DIAGNOSTICS INC,GNMK,372309104,2021/4/23,1
122078,2010/1/4,NIC INC,EGOV,62914B100,2021/4/22,1
175079,2010/1/4,CHINA BIOLOGIC PRODUCTS HLDG,CBPO,G21515104,2021/4/21,1
26021,2010/1/4,SEACOR HOLDINGS INC,CKH,811904101,2021/4/16,1
11115,2010/1/4,VARIAN MEDICAL SYSTEMS INC,VAR,92220P105,2021/4/15,1
110999,2010/1/4,QMX GOLD CORP,QMX.,74735D108,2021/4/14,1
175407,2010/1/4,PREMIER GOLD MINES LTD,PG.,74051D104,2021/4/13,1
6900,2010/1/4,MTS SYSTEMS CORP,MTSC,553777103,2021/4/8,1
177875,2010/1/4,GVIC COMMUNICATIONS CORP,GCT.,403641103,2021/4/7,1
24096,2010/1/4,APEX GLOBAL BRANDS INC,APEX.1,03755M300,2021/4/6,1
137874,2010/1/4,SMTC CORP,SMTX,832682207,2021/4/6,1
162459,2010/1/4,HIGHPOINT RESOURCES CORP,HPR,43114K207,2021/4/6,1
26037,2010/1/4,HMS HOLDINGS CORP,HMSY,40425J101,2021/4/5,1
106404,2010/1/4,FAUQUIER BANKSHARES INC,FBSS,312059108,2021/4/1,1
162501,2010/1/4,OTELCO INC,OTT,688823202,2021/4/1,1
241385,2010/1/4,AES TIETE ENERGIA SA,AESYY,00808P108,2021/3/29,1
66654,2010/1/4,ANWORTH MTG ASSET CORP,ANH,37347101,2021/3/22,1
108082,2010/1/4,ROCKWELL DIAMONDS INC,RDIAF,77434W202,2021/3/22,1
109079,2010/1/4,RED LION HOTELS CORP,RLH,756764106,2021/3/18,1
154357,2010/6/16,QEP RESOURCES INC,QEP,74733V100,2021/3/17,1
165833,2010/1/4,INSPRO TECHNOLOGIES CORP,ITCC,45778T101,2021/3/10,1
26930,2010/1/4,DUFF & PHELPS UTIL &CP BD TR,DUC,26432K108,2021/3/8,1
66577,2010/1/4,BLACKROCK MUNIHOLDINGS FD II,MUH,09253P109,2021/3/8,1
110246,2010/1/4,BLACKROCK MUNIHLDGS QLTY FD,MUS,09254A101,2021/3/8,1
148432,2010/1/4,BLACKROCK MUNICIPAL BOND TR,BBK,09249H104,2021/3/8,1
151160,2010/1/4,BLACKROCK MUN INC INVST QLTY,BAF,09250G102,2021/3/8,1
178084,2010/1/4,COSAN LTD,CZZ,G25343107,2021/3/8,1
182924,2010/1/4,NUVEEN PA MUNICIPAL VALUE FD,NPN,67074K105,2021/3/8,1
182925,2010/1/4,NUVEEN CA MUNICIPAL VL FD 2,NCB,6706EB106,2021/3/8,1
62494,2010/1/4,PRGX GLOBAL INC,PRGX,69357C503,2021/3/4,1
120794,2010/1/4,TC PIPELINES LP,TCP,87233Q108,2021/3/3,1
4201,2010/1/4,EATON VANCE CORP,EV.1,278265103,2021/3/1,1
164746,2010/1/4,COUNTERPATH CORP,CPAH,22228P302,2021/3/1,1
176083,2010/1/4,AEROGROW INTERNATIONAL INC,AERO.2,00768M202,2021/3/1,1
13649,2010/1/4,NATIONAL HOLDINGS CORP,NHLD,636375206,2021/2/26,1
177975,2010/1/4,ZAGG INC,ZAGG,98884U108,2021/2/23,1
177179,2010/1/4,CELLULAR BIOMEDICINE GROUP,CBMG,15117P102,2021/2/22,1
177565,2010/1/4,PEOPLE CORP,PEO.,709762108,2021/2/19,1
184101,2010/5/13,TELENAV INC,TNAV,879455103,2021/2/18,1
177871,2010/1/4,VIRTUSA CORP,VRTU,92827P102,2021/2/12,1
179441,2010/1/4,BIOTELEMETRY INC,BEAT.2,90672106,2021/2/10,1
125975,2010/1/4,COLLECTORS UNIVERSE INC,CLCT,19421R200,2021/2/9,1
177890,2010/1/4,REVELO RESOURCES CORP,RVL.,761366202,2021/2/9,1
7402,2010/1/4,MILLER INDUSTRIES INC,MLLS,600548200,2021/2/8,1
24554,2010/1/4,NUVEEN MICH QUAL MUN INCM,NUM,670979103,2021/2/8,1
14313,2010/1/4,NORBORD INC,OSB.,65548P403,2021/2/3,1
7389,2010/1/4,MIKROS SYSTEMS CORP,MKRS,598626307,2021/2/1,1
126759,2010/1/4,BAY BANKS OF VIRGINIA INC,BAYK,72035108,2021/2/1,1
177340,2010/1/4,ACORN INTERNATIONAL INC -ADR,ATV,4854204,2021/2/1,1
149762,2010/1/4,CLEARWATER SEAFOODS INC,CLR.,18538U106,2021/1/27,1
177884,2010/1/4,CONCHO RESOURCES INC,CXO,20605P101,2021/1/19,1
13646,2010/1/4,TIFFANY & CO,TIF,886547108,2021/1/18,1
13994,2010/1/4,HUSKY ENERGY INC,HSE.,448055103,2021/1/6,1
24415,2010/1/4,BMC STOCK HOLDINGS INC,BLGM,120113105,2021/1/5,1
14192,2010/1/4,GAINSCO INC,GANS,363127309,2021/1/4,1
5218,2010/1/4,GOLDFIELD CORP,GV.2,381370105,2020/12/30,1
25950,2010/1/4,TAUBMAN CENTERS INC,TCO.2,876664103,2020/12/29,1
137230,2010/1/4,MVC CAPITAL INC,MVC,553829102,2020/12/24,1
25676,2010/1/4,PERCEPTRON INC,PRCP,71361F100,2020/12/22,1
142391,2010/1/4,TRANSATLANTIC PETROLEUM LTD,TAT,G89982113,2020/12/22,1
154335,2010/1/4,FIRST TRUST VALUE LN 100 ETF,FVL,33735G107,2020/12/14,1
15446,2010/1/4,EMISPHERE TECHNOLOGIES INC,EMIS,291345106,2020/12/9,1
31055,2010/1/4,CIMETRIX INC,CMXX,17185E308,2020/12/9,1
107188,2010/1/4,MERREX GOLD INC,MXI.,59012H104,2020/12/7,1
5475,2010/1/4,HKN INC,HKNI,40420K707,2020/12/4,1
24710,2010/1/4,BIOSPECIFICS TECHNOLOGIES CP,BSTC,90931106,2020/12/3,1
26659,2010/1/4,DEALNET CAPITAL CORP,GAIMF,242315109,2020/11/30,1
12250,2010/1/4,AMAG PHARMACEUTICALS INC,AMAG,00163U106,2020/11/17,1
143421,2010/1/4,WRIGHT MEDICAL GROUP NV,WMGI,N96617118,2020/11/16,1
156016,2010/1/4,SEACOAST COMMERCE BANC HLDG,SCBH,81171B108,2020/11/13,1
10619,2010/1/4,TOROTEL INC,TTLO,891305104,2020/11/10,1
152973,2010/1/4,NORTHVIEW APARTMENT REIT,NVU.UN,667185102,2020/11/4,1
256778,2010/1/4,MERTIVA AKTIEBOLAG,DMYDY,590465100,2020/11/2,1
154536,2010/3/23,DELMARVA BANCSHARES INC,DLMV,247100100,2020/11/2,1
5902,2010/1/4,IMMUNOMEDICS INC,IMMU,452907108,2020/10/26,1
30778,2010/1/4,CENTRAL EUROPEAN MEDIA,CETV,G20045202,2020/10/15,1
180905,2010/1/4,ROSETTA STONE INC,RST,777780107,2020/10/15,1
20414,2010/1/4,EASTMAIN RESOURCES INC,ER.,27743M106,2020/10/12,1
7912,2010/1/4,NOBLE ENERGY INC,NBL,655044105,2020/10/8,1
177506,2010/1/4,PAINTED PONY ENERGY LTD,PONY.,695779108,2020/10/8,1
63501,2010/1/4,E TRADE FINANCIAL CORP,ETFC,269246401,2020/10/7,1
14163,2010/1/4,MCCLATCHY CO  -CL A,MNIQQ,579489303,2020/10/5,1
174541,2010/1/4,INNERWORKINGS INC,INWK,45773Y105,2020/10/2,1
264414,2010/1/4,MOMENTA PHARMACEUTICALS INC,MNTA,60877T100,2020/10/2,1
61192,2010/1/4,CRAFT BREW ALLIANCE INC,BREW,224122101,2020/10/1,1
123056,2010/1/4,STUART OLSON INC,SOX.,863834107,2020/9/29,1
113371,2010/1/4,SCIENTIFIC LEARNING CORP,SCIL,808760102,2020/9/16,1
121662,2010/1/4,MEET GROUP INC (THE),MEET,58513U101,2020/9/8,1
179666,2010/1/4,LOGMEIN INC,LOGM,54142L109,2020/9/1,1
147340,2010/1/4,GLOBALSCAPE INC,GSB,37940G109,2020/8/28,1
140372,2010/1/4,GUYANA GOLDFIELDS INC,GUY.,403530108,2020/8/27,1
108391,2010/1/4,BELLATRIX EXPLORATION LTD,BXE.,78314705,2020/8/21,1
62340,2010/1/4,SEVEN ACES LTD,ACEXF,81782W103,2020/8/17,1
13997,2010/1/4,TORSTAR CORP  -CL B,TS.B,891474207,2020/8/7,1
65884,2010/1/4,SB ONE BANCORP,SBBX,78413T103,2020/8/3,1
17467,2010/1/4,BANK AKRON/NY,BARK.1,60419108,2020/7/20,1
29040,2010/1/4,STANDARD DIVERSIFIED INC,SDI,85336L109,2020/7/16,1
176350,2010/1/4,MSB FINANCIAL CORP,MSBF,55352L101,2020/7/13,1
66098,2010/1/4,VSB BANCORP INC/NY,VSBN,917927105,2020/7/10,1
161071,2010/1/4,TEARLAB CORP,TEAR,878193200,2020/7/9,1
120277,2010/1/4,EMPRESS RESOURCES CORP,EMPX.,29247C105,2020/7/8,1
183894,2010/1/4,PATHFINDER INCOME FUND,PCD.UN,70320T102,2020/7/8,1
28415,2010/1/4,SEMAFO INC,SMF.,816922108,2020/7/7,1
175236,2010/1/4,ALIO GOLD INC,ALO.,01627X108,2020/7/6,1
24466,2010/1/4,IBERIABANK CORP,IBKC,450828108,2020/7/2,1
29734,2010/1/4,MOBILE MINI INC,MINI,60740F105,2020/7/2,1
12171,2010/1/4,TECH DATA CORP,TECD,878237106,2020/7/1,1
116894,2010/1/4,COMMUNITY SHORES BANK CORP,CSHB,204046106,2020/7/1,1
141562,2010/1/4,PLANET HEALTH CORP,PHL.H,72703F105,2020/7/1,1
6196,2010/1/4,ANIXTER INTL INC,AXE,35290105,2020/6/22,1
65872,2010/1/4,PROGENICS PHARMACEUTICAL INC,PGNX,743187106,2020/6/22,1
155335,2010/1/4,BLACKROCK MUNI NY INT DUR FD,MNE,09255F109,2020/6/16,1
19541,2010/1/4,STEUBEN TRUST CO HORNELL NY,SBHO,860010107,2020/6/15,1
25848,2010/1/4,KEMET CORP,KEM.2,488360207,2020/6/15,1
142088,2010/1/4,CENTERSTATE BANK CORP,CSFL,15201P109,2020/6/8,1
64480,2010/1/4,TIVO CORP,TIVO,88870P106,2020/6/2,1
66374,2010/1/4,CORREVIO PHARMA CORP,CORV,22026V105,2020/6/1,1
146584,2010/1/4,CALWEST BANCORP,CALW,13169Q102,2020/6/1,1
177925,2010/1/4,WABCO HOLDINGS INC,WBC,92927K102,2020/5/29,1
105719,2010/1/4,BALMORAL RESOURCES LTD,BAR.,05874M103,2020/5/26,1
4341,2010/1/4,SORL AUTO PARTS INC,SORL,78461U101,2020/5/18,1
23391,2010/1/4,NORTH STATE TELECOMMUN CORP,NORSA,662642107,2020/5/18,1
19965,2010/1/4,POPE RESOURCES/DE  -LP,POPE,732857107,2020/5/11,1
27845,2010/1/4,ALLERGAN PLC,AGN,G0177J108,2020/5/11,1
178175,2010/1/4,FSB BANCORP INC,FSBC.2,30289C102,2020/5/4,1
18896,2010/1/4,MNB CORP,MNBC,553104100,2020/5/1,1
161996,2010/1/4,PB BANCORP INC,PBBI,70454T100,2020/5/1,1
127797,2010/1/4,MUTUALFIRST FINANCIAL INC,MFSF,62845B104,2020/4/27,1
178999,2010/1/4,OTIS GOLD CORP,OOO.,689007102,2020/4/27,1
178749,2010/2/11,ADVANTAGE LITHIUM CORP,AAL.,00782P108,2020/4/22,1
30013,2010/1/4,DSA FINANCIAL CORP,DSFN,23331W101,2020/4/21,1
182700,2010/1/4,CHANGYOU.COM LTD,CYOU,15911M107,2020/4/20,1
12215,2010/1/4,CYPRESS SEMICONDUCTOR CORP,CY,232806109,2020/4/17,1
8972,2010/1/4,RAYTHEON CO,RTN,755111507,2020/4/4,1
63543,2010/1/4,SOUTHWEST GEORGIA FINL CORP,SGB,84502A104,2020/4/3,1
10984,2010/1/4,SPRINT CORP,S.3,852061100,2020/4/1,1
124254,2010/1/4,OMNOVA SOLUTIONS INC,OMN,682129101,2020/4/1,1
179003,2010/1/4,FIRST ADVANTAGE BANCORP,FABK,31848L104,2020/4/1,1
1072,2010/1/4,AVX CORP,AVX,2444107,2020/3/31,1
175110,2010/1/4,AIRCASTLE LTD,AYR,G0129K104,2020/3/31,1
61696,2010/1/4,STRONGCO CORP,SQP.,86336Y109,2020/3/20,1
29968,2010/1/4,AK STEEL HOLDING CORP,AKS,1547108,2020/3/13,1
106141,2010/1/4,LEAGOLD MINING CORP,LMC.,52176A205,2020/3/13,1
183358,2010/1/4,GRANITE OIL CORP,GXO.,38742A100,2020/3/10,1
184711,2010/4/19,CONTINENTAL GOLD INC,CNL.3,21146A108,2020/3/9,1
